|datasheet_id|line|ability_id|model|name|description|type|parameter|Unnamed: 8
0|1|1|8346.0||||Core||
1|1|2|3676.0||||Faction||
2|1|3|||Might is Right|"While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>."|Datasheet||
3|1|4|||Da Biggest and da Best|"While the <span class=""tooltip00290"" data-tooltip-content=""#tooltip_content00290""><span class=""tt kwbu"">Waaagh!</span></span> is active for your army, add 4 to the Attacks characteristic of this model’s melee weapons."|Datasheet||
4|2|1|8346.0||||Core||
5|2|2|3676.0||||Faction||
6|2|3|||Might is Right|"While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>."|Datasheet||
7|2|4|||Dead Brutal|"While the <span class=""tooltip00290"" data-tooltip-content=""#tooltip_content00290""><span class=""tt kwbu"">Waaagh!</span></span> is active for your army, this model’s ’uge choppa has a Damage characteristic of 3."|Datasheet||
8|3|1|8346.0||||Core||
9|3|2|3676.0||||Faction||
10|3|3|||Speedboss|"While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>."|Datasheet||
11|3|4|||High-octane Fuel|"Each time this model’s unit <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advances</a>, do not make an Advance roll for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in this model’s unit."|Datasheet||
12|4|1|8339.0||||Core|D3|
13|4|2|8346.0||||Core||
14|4|3|3676.0||||Faction||
15|4|4|||Waaagh! Energy|"While this model is leading a unit, add 1 to the Strength and Damage characteristics of this model’s ’Eadbanger weapon for every 5 models in that unit (rounding down), but while that unit contains 10 or more models, that weapon has the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">[HAZARDOUS]</a></span> ability."|Datasheet||
16|4|5|||Da Jump (Psychic)|"Once per turn, at the end of your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, one <span class=""kwb"">WEIRDBOY</span> from your army can use this ability. If it does, roll one D6: on a 1, that <span class=""kwb"">WEIRDBOY</span>’s unit suffers D6 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>; on a 2+, remove this <span class=""kwb"">WEIRDBOY</span>’s unit from the battlefield and set it up again anywhere on the battlefield that is more than 9"" horizontally away from all enemy models."|Datasheet||
17|6|1|8346.0||||Core||
18|6|2|3676.0||||Faction||
19|6|3|||More Dakka|"While this model is leading a unit, each time a model in that unit makes a ranged attack, re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 1."|Datasheet||
20|6|4|||Fix Dat Armour Up|"While this model is leading a unit, in your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>, you can return 1 destroyed <a href=""/wh40k10ed/the-rules/core-rules/#Attached-Units"">Bodyguard</a> model to that unit."|Datasheet||
21|6|5|||Kustom Force Field|"While the bearer is leading a unit, models in that unit have a 4+ <a href=""/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a> against ranged attacks."|Wargear||
22|6|6|||Grot Oiler|"Once per battle, at the end of your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, one model in the bearer’s unit regains D3 lost wounds.<br><br><b>Designer’s Note:</b> <i>Place a Grot Oiler token next to the unit, removing it once this ability has been used.</i>"|Wargear||
23|7|1|8346.0||||Core||
24|7|2|3676.0||||Faction||
25|7|3|||Kustom Force Field|"While the bearer is leading a unit, models in that unit have a 4+ <a href=""/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a> against ranged attacks."|Wargear||
26|7|4|||More Dakka|"While this model is leading a unit, each time a model in that unit makes a ranged attack, re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 1."|Datasheet||
27|7|5|||Mekaniak|"At the end of your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, you can select one friendly <span class=""tooltip00291"" data-tooltip-content=""#tooltip_content00291"" data-tooltip-anchor=""#tooltip_content00291""><span class=""kwb"">ORKS</span> <span class=""kwb"">VEHICLE</span></span> model within 3"" of this model. That <span class=""kwb"">VEHICLE</span> model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that <span class=""kwb"">VEHICLE</span> model makes an attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>. Each model can only be selected for this ability once per turn."|Datasheet||
28|8|1|8346.0||||Core||
29|8|2|3676.0||||Faction||
30|8|3|||Prophet of Da Great Waaagh!|"While this unit is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> and add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a> and if the <span class=""tooltip00290"" data-tooltip-content=""#tooltip_content00290""><span class=""tt kwbu"">Waaagh!</span></span> is active for your army, a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Critical Hit</a> is scored on a successful unmodified Hit roll of 5+."|Datasheet||
31|8|4|||Ghazghkull’s Waaagh! Banner (Aura)|"While a friendly <span class=""kwb"">ORKS</span> unit is within 12"" of Makari, if the <span class=""tooltip00290"" data-tooltip-content=""#tooltip_content00290""><span class=""tt kwbu"">Waaagh!</span></span> is active for your army, melee weapons equipped by models in that unit have the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Lethal-Hits"">[LETHAL HITS]</a></span> ability."|Datasheet||
32|8|5|||SUPREME COMMANDER|"If this unit is in your army, its Ghazghkull Thraka model must be your <a href=""/wh40k10ed/the-rules/core-rules/#6.-Select-Warlord"">Warlord</a>."|Special (правая колонка)||
33|9|1|8346.0||||Core||
34|9|2|3676.0||||Faction||
35|9|3|||Flashiest Gitz|"While this model is leading a unit, each time a model in that unit makes a ranged attack, you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>."|Datasheet||
36|9|4|||Ded Glowy Ammo (Aura)|"While an enemy Infantry unit is within 6"" of this model, subtract 1 from the Toughness characteristic of models in that unit."|Datasheet||
37|10|1|8343.0||||Core||
38|10|2|8338.0||||Core|6+|
39|10|3|8346.0||||Core||
40|10|4|3676.0||||Faction||
41|10|5|||Drill Boss|"While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>."|Datasheet||
42|10|6|||Plummeting Descent|"You can re-roll <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">Charge rolls</a> made for this model’s unit in a turn in which it was set up on the battlefield from <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reserves</a>."|Datasheet||
43|11|1|8345.0||||Core||
44|11|2|8346.0||||Core||
45|11|3|8336.0||||Core||
46|11|4|8337.0||||Core||
47|11|5|3676.0||||Faction||
48|11|6|||Red Skull Kommandos|"While this model is leading a unit, models in that unit have the <a href=""/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover"">Benefit of Cover</a>."|Datasheet||
49|11|7|||Kunnin’ Infiltrator|"Once per battle, in your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, instead of making a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a> with this model’s unit, you can remove it from the battlefield and set it up again anywhere on the battlefield that is more than 9"" horizontally away from all enemy models."|Datasheet||
50|12|1|8346.0||||Core||
51|12|2|3676.0||||Faction||
52|12|3|||Mekboy|"While this model is within 3"" of one or more friendly <span class=""tooltip00291"" data-tooltip-content=""#tooltip_content00291"" data-tooltip-anchor=""#tooltip_content00291""><span class=""kwb"">ORKS</span> <span class=""kwb"">VEHICLE</span></span> units, this model has the <a href=""/wh40k10ed/the-rules/core-rules/#Look-out-Sir-"">Lone Operative</a> ability."|Datasheet||
