|datasheet_id|keyword|model|is_faction_keyword|Unnamed: 4
0|1|Orks||True|
1|1|Grenades||False|
2|1|Character||False|
3|1|Infantry||False|
4|1|Warboss||False|
5|2|Orks||True|
6|2|Warboss in Mega Armour||False|
7|2|Warboss||False|
8|2|Mega Armour||False|
9|2|Character||False|
10|2|Infantry||False|
11|3|Orks||True|
12|3|Mounted||False|
13|3|Character||False|
14|3|Speed Freeks||False|
15|3|Grenades||False|
16|3|Warboss||False|
17|4|Orks||True|
18|4|Infantry||False|
19|4|Weirdboy||False|
20|4|Psyker||False|
21|4|Character||False|
22|6|Orks||True|
23|6|Infantry||False|
24|6|Big Mek in Mega Armour||False|
25|6|Mek||False|
26|6|Character||False|
27|6|Mega Armour||False|
28|7|Orks||True|
29|7|Big Mek on Warbike||False|
30|7|Grenades||False|
31|7|Character||False|
32|7|Speed Freeks||False|
33|7|Mounted||False|
34|7|Big Mek||False|
35|8|Orks||True|
36|8|Infantry|ALL MODELS|False|
37|8|Ghazghkull Thraka|GHAZGHKULL THRAKA|False|
38|8|Epic Hero|ALL MODELS|False|
39|8|Character|ALL MODELS|False|
40|8|Warboss|GHAZGHKULL THRAKA|False|
41|9|Orks||True|
42|9|Infantry||False|
43|9|Character||False|
44|9|Kaptin Badrukk||False|
45|9|Epic Hero||False|
46|10|Orks||True|
47|10|Jump Pack||False|
48|10|Boss Zagstruk||False|
49|10|Epic Hero||False|
50|10|Character||False|
51|10|Fly||False|
52|10|Infantry||False|
53|11|Orks||True|
54|11|Infantry||False|
55|11|Boss Snikrot||False|
56|11|Epic Hero||False|
57|11|Smoke||False|
58|11|Grenades||False|
59|11|Character||False|
60|12|Orks||True|
61|12|Mek||False|
62|12|Character||False|
63|12|Infantry||False|
64|13|Orks||True|
65|13|Infantry||False|
66|13|Character||False|
67|13|Painboy||False|
68|14|Orks||True|
69|14|Painboy on Warbike||False|
70|14|Speed Freeks||False|
71|14|Mounted||False|
72|14|Character||False|
73|15|Orks||True|
74|15|Painboy||False|
75|15|Epic Hero||False|
76|15|Character||False|
77|15|Infantry||False|
78|15|Mad Dok Grotsnik||False|
79|16|Orks||True|
80|16|Boyz||False|
81|16|Infantry||False|
82|16|Battleline||False|
83|16|Mob||False|
84|16|Grenades||False|
85|17|Orks||True|
86|17|Grots||False|
87|17|Infantry||False|
88|17|Gretchin||False|
89|19|Orks||True|
90|19|Infantry||False|
91|19|Burna Boyz||False|
92|20|Orks||True|
93|20|Tankbustas||False|
94|20|Infantry||False|
95|20|Grenades||False|
96|21|Orks||True|
97|21|Infantry||False|
98|21|Nobz||False|
99|21|Grenades||False|
100|22|Orks||True|
101|22|Character||False|
102|22|Nob with Waaagh! Banner||False|
103|22|Infantry||False|
104|23|Orks||True|
105|23|Grenades||False|
106|23|Speed Freeks||False|
107|23|Mounted||False|
108|23|Nobz on Warbikes||False|
109|24|Orks||True|
110|24|Infantry||False|
111|24|Grenades||False|
112|24|Mega Armour||False|
113|24|Meganobz||False|
114|25|Orks||True|
115|25|Grenades||False|
116|25|Infantry||False|
117|25|Smoke||False|
118|25|Kommandos||False|
119|26|Orks||True|
120|26|Transport||False|
121|26|Trukk||False|
122|26|Dedicated Transport||False|
123|26|Vehicle||False|
124|27|Orks||True|
125|27|Stormboyz||False|
126|27|Jump Pack||False|
127|27|Fly||False|
128|27|Grenades||False|
129|27|Infantry||False|
130|28|Orks||True|
131|28|Vehicle||False|
132|28|Deffkoptas||False|
133|28|Grenades||False|
134|28|Fly||False|
135|28|Speed Freeks||False|
136|29|Orks||True|
137|29|Aircraft||False|
138|29|Speed Freeks||False|
139|29|Dakkajet||False|
140|29|Vehicle||False|
141|29|Fly||False|
