|datasheet_id|line|name|M|T|Sv|inv_sv|inv_sv_descr|W|Ld|OC|base_size|base_size_descr|Unnamed: 13
0|1|1|Warboss|"6"""|5|4+|5||6|6+|1|40mm||
1|2|1|Warboss In Mega Armour|"5"""|6|2+|5||7|6+|1|50mm||
2|3|1|Warboss On Warbike|"12"""|6|4+|5||7|6+|2|100 x 40mm||
3|4|1|Weirdboy|"6"""|5|5+|-||4|7+|1|40mm||
4|6|1|Big Mek In Mega Armour|"5"""|6|2+|-||5|7+|1|40mm||
5|7|1|Big Mek On Warbike|"12"""|6|4+|6||6|7+|2|90 x 52mm||
6|8|1|GHAZGHKULL THRAKA|"5"""|6|2+|4||10|6+|4|80mm||
7|8|2|MAKARI|"5"""|6|7+|2|You cannot re-roll invulnerable saving throws made for this model.|1|8+|1|25mm||
8|9|1|Kaptin Badrukk|"6"""|5|3+|4||6|7+|1|40mm||
9|10|1|Boss Zagstruk|"12"""|5|4+|5||6|6+|1|40mm||
10|11|1|Boss Snikrot|"6"""|5|5+|5||6|6+|1|40mm||
11|12|1|Mek|"6"""|5|5+|-||4|7+|1|32mm||
12|13|1|Painboy|"6"""|5|5+|-||3|7+|1|32mm||
13|14|1|Painboy On Warbike|"12"""|6|4+|6||4|7+|2|90 x 52mm||
14|15|1|Mad Dok Grotsnik|"6"""|5|5+|5||4|7+|1|32mm||
15|16|1|BOY|"6"""|5|5+|-||1|7+|2|32mm||
16|16|2|BOSS NOB|"6"""|5|5+|-||2|7+|2|32mm||
17|17|1|GRETCHIN|"6"""|2|7+|-||1|8+|2|25mm||
18|17|2|RUNTHERD|"6"""|5*|5+|-||2|7+|1|32mm||
19|19|1|Burna Boyz|"6"""|5|5+|-||1|7+|1|32mm||
20|20|1|TANKBUSTAS|"6"""|5|4+|-||2|7+|1|32mm|Nob on 40mm|
21|21|1|Nobz|"6"""|5|4+|-||2|7+|1|32mm||
22|22|1|Nob With Waaagh! Banner|"6"""|5|4+|-||3|7+|1|32mm||
23|23|1|Nobz On Warbikes|"12"""|6|4+|6||4|7+|2|75 x 42mm||
24|24|1|Meganobz|"5"""|6|2+|-||3|7+|1|40mm||
25|25|1|KOMMANDOS|"6"""|5|5+|-||1|7+|1|32mm||
26|25|2|BOSS NOB|"6"""|5|5+|-||2|7+|1|32mm||
27|26|1|Trukk|"12"""|8|4+|6||10|7+|2|Use model||
28|27|1|STORMBOY|"12"""|5|5+|-||1|7+|1|32mm||
29|27|2|BOSS NOB|"12"""|5|5+|-||2|7+|1|32mm||
30|28|1|Deffkoptas|"12"""|6|4+|6||4|7+|2|75 x 42mm||
31|29|1|Dakkajet|"20+"""|9|3+|6||12|7+|0|120 x 92mm flying base||
32|30|1|Burna-bommer|"20+"""|9|3+|6||12|7+|0|120 x 92mm flying base||
33|31|1|Blitza-bommer|"20+"""|9|3+|6||12|7+|0|120 x 92mm flying base||
34|32|1|Wazbom Blastajet|"20+"""|9|3+|6||12|7+|0|120 x 92mm flying base||
35|33|1|WARBIKER|"12"""|6|4+|6||3|7+|2|75 x 42mm||
36|33|2|BOSS NOB ON WARBIKE|"12"""|6|4+|6||4|7+|2|75 x 42mm||
37|34|1|Wartrakks|"12"""|6|4+|6||6|7+|2|Use model||
38|35|1|Skorchas|"12"""|6|4+|6||6|7+|2|Use model||
39|36|1|Warbuggies|"12"""|6|4+|6||6|7+|2|Use model||
40|37|1|Big Gunz|"3"""|4|5+|6||3|8+|1|Use model||
41|38|1|Mek Gunz|"3"""|5|5+|6||6|8+|2|Use model||
42|39|1|Battlewagon|"10"""|10|3+|6||16|7+|5|Use model||
43|40|1|Deff Dread|"8"""|9|2+|6||8|7+|3|60mm||
44|41|1|Killa Kans|"6"""|6|3+|6||5|8+|2|60mm||
45|42|1|Morkanaut|"8"""|12|3+|5||20|7+|8|170 x 109mm||
46|43|1|Gorkanaut|"8"""|12|3+|6||20|7+|8|170 x 109mm||
47|44|1|Lootas|"6"""|5|5+|-||1|7+|1|32mm||
48|45|1|Flash Gitz|"6"""|5|4+|-||2|7+|1|40mm||
49|46|1|Stompa|"10"""|14|2+|6||30|6+|12|Use model||
50|49|1|Grot Tanks|"10"""|6|3+|-||5|8+|2|Use model||
51|50|1|Grot Mega-tank|"8"""|9|3+|-||12|8+|4|Use model||
52|51|1|Squiggoth|"10"""|10|3+|-||18|7+|5|Use model||
53|52|1|Meka-dread|"8"""|10|2+|6||16|7+|5|Use model||
54|53|1|Lifta Wagon|"10"""|10|3+|6||16|7+|5|Use model||
55|54|1|Big Trakk|"12"""|9|4+|6||12|7+|3|Use model||
56|55|1|Kannonwagon|"12"""|10|4+|6||16|7+|4|Use model||
57|56|1|Kill Tank|"12"""|12|3+|-||24|6+|10|Use model||
58|57|1|Chinork Warkopta|"14"""|8|4+|6||10|7+|2|120 x 92mm flying base||
59|59|1|Gargantuan Squiggoth|"10"""|13|3+|-||30|7+|12|Use model||
60|60|1|Apothecary Biologis|"5"""|6|3+|-||5|6+|3|40mm||
61|61|1|Assault Squad|"6"""|4|3+|-||2|6+|1|32mm||
62|63|1|Apothecary On Bike|"12"""|5|3+|-||5|6+|2|75 x 25mm||
63|64|1|Assault Squad With Jump Packs|"12"""|4|3+|-||2|6+|1|32mm||
64|65|1|Land Raider|"10"""|12|2+|-||16|6+|5|Use model||
65|66|1|Land Raider Crusader|"12"""|12|2+|-||16|6+|5|Use model||
66|67|1|Land Raider Excelsior|"10"""|12|2+|5||16|6+|5|Use model||
67|68|1|Suppressor Squad|"12"""|4|3+|-||2|6+|1|40mm||
68|70|1|Tactical Squad|"6"""|4|3+|-||2|6+|2|32mm||
69|71|1|Bladeguard Veteran Squad|"6"""|4|3+|4||3|6+|1|40mm||
70|72|1|Caestus Assault Ram|"20+"""|10|3+|-||18|6+|0|120 x 92mm flying base||
71|73|1|Captain|"6"""|4|3+|4||5|6+|1|40mm||
72|76|1|Lieutenant With Combi-weapon|"6"""|4|3+|-||4|6+|1|40mm||
73|79|1|Librarian In Terminator Armour|"5"""|5|2+|4||5|6+|1|40mm||
74|81|1|Captain Sicarius|"6"""|4|2+|4||5|6+|1|25mm||
75|83|1|Captain With Jump Pack|"12"""|4|3+|4||5|6+|1|40mm||
76|84|1|Stormhawk Interceptor|"20+"""|9|3+|-||10|6+|0|120 x 92mm flying base||
77|85|1|Rhino Primaris|"12"""|9|3+|-||10|6+|3|Use model||
78|86|1|Firestrike Servo-turrets|"3"""|6|2+|-||6|6+|2|80mm||
79|87|1|Drop Pod|-|7|3+|-||8|6+|0|Use model||
80|91|1|Ballistus Dreadnought|"8"""|10|2+|-||12|6+|4|90mm||
81|92|1|Sicaran Venator|"10"""|11|2+|-||14|6+|4|Use model||
82|93|1|Typhon|"10"""|12|2+|-||18|6+|6|Use model||
83|94|1|Chaplain On Bike|"12"""|5|3+|4||5|5+|1|90 x 52mm||
84|95|1|Ultramarines Honour Guard|"6"""|4|2+|-||2|6+|1|32mm||
85|96|1|Carab Culln The Risen|"8"""|10|2+|5||12|6+|4|80mm||
86|97|1|Hammerfall Bunker|-|12|2+|-||14|6+|0|Use model||
87|98|1|Tarantula Sentry Battery|-|6|3+|-||4|6+|1|Use model||
88|99|1|Tarantula Air Defence Battery|-|5|3+|-||4|7+|0|Use model||
89|103|1|Eradicator Squad|"5"""|6|3+|-||3|6+|1|40mm||
90|104|1|Relic Terminator Squad|"5"""|5|2+|4||3|6+|1|40mm||
91|107|1|Javelin Attack Speeder|"14"""|8|3+|-||9|6+|3|60mm flying base||
92|110|1|Rapier Carrier|"3"""|6|2+|-||6|6+|2|Use model||
93|111|1|Mortis Dreadnought|"6"""|9|2+|-||8|6+|3|60mm||
94|112|1|Chaplain With Jump Pack|"12"""|4|3+|4||4|5+|1|32mm||
95|113|1|Storm Eagle Gunship|"20+"""|10|3+|-||18|6+|0|120 x 92mm flying base||
96|114|1|Storm Speeder Hammerstrike|"14"""|9|3+|-||11|6+|3|90mm||
97|115|1|Chaplain In Terminator Armour|"5"""|5|2+|4||5|5+|1|40mm||
98|116|1|SPACE MARINE BIKE|"12"""|5|3+|-||3|6+|2|75 x 25mm||
99|116|2|ATTACK BIKE|"12"""|5|3+|-||5|6+|2|Use model||
100|117|1|Dreadnought|"6"""|9|2+|-||8|6+|3|60mm||
101|118|1|Terminator Assault Squad|"5"""|5|2+|4||3|6+|1|40mm||
102|119|1|Librarian In Phobos Armour|"6"""|4|3+|-||4|6+|1|40mm||
103|120|1|Venerable Dreadnought|"6"""|9|2+|-||8|6+|3|60mm||
104|121|1|Uriel Ventris|"6"""|4|3+|4||5|6+|1|40mm||
105|122|1|Dreadnought Drop Pod|-|7|3+|-||8|6+|2|Use model||
106|123|1|Sicaran Punisher|"10"""|11|2+|-||14|6+|4|Use model||
107|124|1|Storm Speeder Hailstrike|"14"""|9|3+|-||11|6+|3|90mm||
108|125|1|Inceptor Squad|"10"""|6|3+|-||3|6+|1|40mm||
109|126|1|Infernus Squad|"6"""|4|3+|-||2|6+|1|32mm||
110|127|1|Iron Father Feirros|"5"""|6|2+|-||6|6+|1|40mm||
111|128|1|Infiltrator Squad|"6"""|4|3+|-||2|6+|1|32mm||
112|129|1|Razorback|"12"""|9|3+|-||10|6+|2|Use model||
113|131|1|Leviathan Dreadnought|"8"""|10|2+|5||12|6+|4|80mm||
114|132|1|Land Speeder Storm|"14"""|7|4+|-||7|6+|1|60mm flying base||
115|134|1|Astartes Servitors|"6"""|4|4+|6||1|8+|0|25mm||
116|135|1|Captain In Terminator Armour|"5"""|5|2+|4||6|6+|1|50mm||
117|136|1|Brutalis Dreadnought|"8"""|10|2+|-||12|6+|4|90mm||
118|137|1|Scout Bike Squad|"12"""|5|4+|-||3|6+|2|75 x 25mm||
119|138|1|Roboute Guilliman|"8"""|9|2+|4||10|5+|4|60mm||
120|139|1|Thunderhawk Gunship|"20+"""|12|2+|-||30|6+|0|120 x 92mm flying base||
121|140|1|Techmarine|"6"""|4|2+|-||4|6+|1|40mm||
122|146|1|Hunter|"9"""|11|3+|-||11|6+|3|Use model||
123|147|1|Vanguard Veteran Squad With Jump Packs|"12"""|4|3+|-||2|6+|1|32mm||
124|148|1|Imperial Space Marine|"6"""|4|3+|-||4|6+|1|32mm||
125|151|1|Commander Dante|"12"""|4|2+|4||6|6+|1|50mm||
126|152|1|Captain Tycho|"6"""|4|2+|4||5|6+|1|25mm||
127|153|1|Tycho The Lost|"6"""|4|2+|4||4|6+|1|25mm||
