|datasheet_id|line|button|description|Unnamed: 4
0|1|1|•|This model’s big choppa can be replaced with 1 power klaw.|
1|1|2|•|This model can be equipped with 1 attack squig.|
2|3|1|•|"This model’s killsaw can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big choppa</li><li>1 power klaw</li></ul>"|
3|6|1|•|"This model’s kustom-mega blasta can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 killsaw</li><li>1 kombi-weapon</li><li>1 kustom shoota</li></ul>"|
4|6|2|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 tellyport blasta</li><li>1 kustom force field</li></ul>"|
5|6|3|•|This model can be equipped with 1 grot oiler.|
6|7|1|•|"This model’s slugga can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 shokk attack gun</li><li>1 kustom force field</li><li>1 kombi-weapon</li><li>1 kustom mega-blasta</li><li>1 kustom mega-slugga</li><li>1 rokkit launcha</li><li>1 big choppa</li><li>1 power klaw</li></ul>"|
7|7|2|•|"This model’s choppa can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kombi-weapon</li><li>1 kustom mega-blasta</li><li>1 kustom mega-slugga</li><li>1 rokkit launcha</li><li>1 big choppa</li><li>1 killsaw</li><li>1 power klaw</li></ul>"|
8|9|1|•||
9|10|1|•||
10|12|1|•|This model’s wrench can be replaced with 1 killsaw.|
11|13|1|•|This model can be equipped with 1 grot orderly.|
12|14|1|•|This model’s power klaw can be replaced with 1 killsaw.|
13|15|1|•||
14|16|1|•|The Boss Nob’s big choppa can be replaced with 1 power klaw.|
15|16|2|•|The Boss Nob’s big choppa and slugga can be replaced with 1 kombi-weapon and 1 close combat weapon.|
16|16|3|•|Any number of Boyz can each have their slugga and choppa replaced with 1 shoota and 1 close combat weapon.|
17|16|4|•|"For every 10 models in this unit, 1 Boy’s choppa and slugga can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big shoota and 1 close combat weapon</li><li>1 rokkit launcha and 1 close combat weapon</li></ul>"|
18|19|1|•|"Any number of Spanners can each have their big shoota replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li></ul>"|
19|20|1|•|1 of the Boss Nob’s rokkit pistols can be replaced with 1 smash hammer.|
20|20|2|•|"One Tankbusta can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 pulsa rokkit</li><li>1 additional rokkit launcha</li></ul>"|
21|21|1|•|Any number of models can each have their big choppa replaced with 1 power klaw.|
22|21|2|•|Any number of models can each have their slugga and big choppa replaced with 1 kombi-weapon and 1 close combat weapon.|
23|21|3|•|For every 5 models in this unit, this unit can be equipped with 1 ammo runt.|
24|22|1|•||
25|23|1|•|Any number of models can each be equipped with 1 slugga.|
26|23|2|•|"Any number of models can each have their choppa replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big choppa</li><li>1 killsaw</li><li>1 power klaw</li><li>1 power stabba</li><li>1 slugga</li></ul>"|
