|datasheet_id|line|line_in_wargear|dice|name|description|range|type|A|BS_WS|S|AP|D|Unnamed: 13
0|1|1.0|1||Kombi-weapon|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>"|24|Ranged|1|5|4|0|1|
1|1|2.0|1||Twin slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|12|Ranged|2|5|4|0|1|
2|1|3.0|1||Attack squig|"<a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>"|Melee|Melee|2|4|4|0|1|
3|1|4.0|1||Big choppa||Melee|Melee|5|2|8|-1|2|
4|1|5.0|1||Power klaw||Melee|Melee|4|3|10|-2|2|
5|2|1.0|1||Big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|36|Ranged|3|4|5|0|1|
6|2|2.0|1||’Uge choppa||Melee|Melee|4|2|12|-2|2|
7|3|1.0|1||Twin dakkagun|"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|18|Ranged|3|5|5|0|1|
8|3|2.0|1||Big choppa||Melee|Melee|5|2|8|-1|2|
9|3|3.0|1||Killsaw||Melee|Melee|3|4|12|-3|2|
10|3|4.0|1||Power klaw||Melee|Melee|4|3|10|-2|2|
11|4|1.0|1||’Eadbanger|"<a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Psychic-Weapons-and-Abilities"">psychic</a>"|24|Ranged|1|4|6|-3|1|
12|4|2.0|1||Weirdboy staff|"<a href=""/wh40k10ed/the-rules/core-rules/#Psychic-Weapons-and-Abilities"">psychic</a>"|Melee|Melee|3|3|8|-1|D3|
13|6|1.0|1||Kombi-weapon|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>"|24|Ranged|1|5|4|0|1|
14|6|2.0|1||Kustom mega-blasta|"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>"|24|Ranged|3|5|9|-2|D6|
15|6|3.0|1||Kustom shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|18|Ranged|4|5|4|0|1|
16|6|4.0|1||Tellyport blasta|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|12|Ranged|3|5|8|-1|3|
17|6|5.0|1||Killsaw||Melee|Melee|3|4|12|-3|2|
18|6|6.0|1||Power klaw||Melee|Melee|4|3|9|-2|2|
19|7|1.0|1||Kombi-weapon|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>"|24|Ranged|1|5|4|0|1|
20|7|2.0|1||Kustom mega-blasta|"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>"|24|Ranged|3|5|9|-2|D6|
